Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
"Werner Herzog Collection, The",Last Words,1968,,✓,,✓,,,BFI,Werner Herzog,Short
"Werner Herzog Collection, The",Precautions Against Fanatics,1969,,✓,,✓,,,BFI,Werner Herzog,Short
"Werner Herzog Collection, The",Handicapped Future,1971,,✓,,✓,,,BFI,Werner Herzog,Documentary
"Werner Herzog Collection, The",Fata Morgana,1971,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",Land of Silence and Darkness,1971,,✓,,✓,,,BFI,Werner Herzog,Documentary
"Werner Herzog Collection, The","Aguirre, the Wrath of God",1972,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The","Great Ecstasy of Woodcarver Steiner, The",1974,,✓,,✓,,,BFI,Werner Herzog,Documentary
"Werner Herzog Collection, The","Enigma of Kaspar Hauser, The",1974,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",How Much Wood Would a Woodchuck Chuck,1976,,✓,,✓,,,BFI,Werner Herzog,Documentary
"Werner Herzog Collection, The",Heart of Glass,1976,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",Stroszek,1977,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",Nosferatu the Vampyre,1979,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",Woyzeck,1979,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",Huie's Sermon,1980,,✓,,✓,,,BFI,Werner Herzog,Documentary
"Werner Herzog Collection, The",God's Angry Man,1980,,✓,,✓,,,BFI,Werner Herzog,Documentary
"Werner Herzog Collection, The",Fitzcarraldo,1982,,✓,,✓,,,BFI,Werner Herzog,
"Werner Herzog Collection, The",Cobra Verde,1987,,✓,,✓,,,BFI,Werner Herzog,
,12 Angry Men,1957,,✓,,✓,,,Criterion,Sidney Lumet,
,Dogma,1999,,✓,✓,,,,Visions Home Video,Kevin Smith,Vertigo Releasing sub-label; single-disc 4K
,"Great Dictator, The",1940,,✓,,✓,,,Criterion,Charlie Chaplin,
,"City of Lost Children, The",1995,,✓,✓,✓,,,StudioCanal,Marc Caro; Jean-Pierre Jeunet,
,Mulholland Dr.,2001,,✓,✓,✓,,,StudioCanal,David Lynch,
,Ghost in the Shell,1995,,✓,,✓,,,Manga Entertainment,Mamoru Oshii,
,Taxi Driver,1976,,✓,,✓,,,Sony Pictures,Martin Scorsese,
,Paths of Glory,1957,,✓,,✓,,,Eureka,Stanley Kubrick,
,"Prestige, The",2006,,✓,,✓,,,Warner Bros.,Christopher Nolan,
,Bridget Jones's Diary,2001,,✓,,,,✓,Universal,Sharon Maguire,
,Calvary,2014,,✓,,,,✓,Entertainment One,John Michael McDonagh,
"Coen Brothers' Collection, The (Universal)",Blood Simple,1984,,✓,,,,✓,Universal,Joel Coen; Ethan Coen,
"Coen Brothers' Collection, The (Universal)",Barton Fink,1991,,✓,,,,✓,Universal,Joel Coen; Ethan Coen,
"Coen Brothers' Collection, The (Universal)","Hudsucker Proxy, The",1994,,✓,,,,✓,Universal,Joel Coen; Ethan Coen,
"Coen Brothers' Collection, The (Universal)","Big Lebowski, The",1998,,✓,,,,✓,Universal,Joel Coen; Ethan Coen,
,Witness for the Prosecution,1957,,✓,,,,✓,MGM,Billy Wilder,
,Grease,1978,,✓,,,,✓,Paramount,Randal Kleiser,
,Carol,2015,,✓,,,,✓,StudioCanal,Todd Haynes,
,"As Above, So Below",2014,,✓,,,,✓,Universal,John Erick Dowdle,
,Four Weddings and a Funeral,1994,,✓,,,,✓,MGM,Mike Newell,
,Downfall,2004,,✓,,,,✓,Momentum Pictures,Oliver Hirschbiegel,
Pride & Prejudice / Atonement / Sense and Sensibility,Pride & Prejudice,2005,,✓,,,,✓,Universal,Joe Wright,Box carries no name beyond the three titles
